Month,Monthly_Avg
2011-11-01,2527.426363636364
2011-12-01,2196.845238095238
2012-01-01,2307.62
2012-02-01,2356.2400000000002
2012-03-01,2359.2504545454544
2012-04-01,2266.7825000000003
2012-05-01,2313.934347826087
2012-06-01,2264.209523809524
2012-07-01,2349.8186363636364
2012-08-01,2512.2608695652175
2012-09-01,2620.284
2012-10-01,2463.535652173913
2012-11-01,2478.1645454545455
2012-12-01,2410.3425
2013-01-01,2275.4363636363637
2013-02-01,2197.704
2013-03-01,2153.359
2013-04-01,2294.4886363636365
2013-05-01,2345.729090909091
2013-06-01,2283.5835
2013-07-01,2308.529130434783
2013-08-01,2483.6072727272726
2013-09-01,2616.0514285714285
2013-10-01,2730.696956521739
2013-11-01,2755.173333333333
2013-12-01,2824.537619047619
2014-01-01,2819.429090909091
2014-02-01,2994.364
2014-03-01,3041.6666666666665
2014-04-01,3050.6133333333332
2014-05-01,3029.994761904762
2014-06-01,3174.327619047619
2014-07-01,3196.040434782609
2014-08-01,3270.269047619048
2014-09-01,3220.7913636363637
2014-10-01,3100.8269565217392
2014-11-01,2909.091
2014-12-01,2957.66
2015-01-01,2921.0533333333333
2015-02-01,2946.8250000000003
2015-03-01,2882.2322727272726
2015-04-01,2868.274761904762
2015-05-01,3095.998
2015-06-01,3239.0213636363637
2015-07-01,3325.960434782609
2015-08-01,3153.049523809524
2015-09-01,3278.455
2015-10-01,3198.3018181818184
2015-11-01,3360.8404761904762
2015-12-01,3345.650909090909
2016-01-01,2952.42
2016-02-01,2916.365714285714
2016-03-01,3073.518181818182
2016-04-01,3078.495238095238
2016-05-01,3098.6585714285716
2016-06-01,3122.516818181818
2016-07-01,3049.975238095238
2016-08-01,3033.183043478261
2016-09-01,2881.1872727272726
2016-10-01,2711.349523809524
2016-11-01,2500.479090909091
2016-12-01,2287.801904761905
2017-01-01,2195.8542857142857
2017-02-01,2034.0815
2017-03-01,2057.8004347826086
2017-04-01,1961.1573684210525
2017-05-01,1983.4850000000001
2017-06-01,1998.2477272727274
2017-07-01,1988.5795238095238
2017-08-01,1988.5569565217393
2017-09-01,1998.297619047619
2017-10-01,2097.0545454545454
2017-11-01,2127.900909090909
2017-12-01,1917.6835
2018-01-01,1951.9681818181818
2018-02-01,2122.799
2018-03-01,2503.9509523809525
2018-04-01,2624.7357142857145
2018-05-01,2659.936818181818
2018-06-01,2410.7595238095237
2018-07-01,2357.0472727272727
2018-08-01,2171.61
2018-09-01,2195.088
2018-10-01,2134.2004347826087
2018-11-01,2185.0363636363636
2018-12-01,2208.406
2019-01-01,2263.3359090909094
2019-02-01,2255.803
2019-03-01,2200.4857142857145
2019-04-01,2331.131428571429
2019-05-01,2315.0763636363636
2019-06-01,2407.73
2019-07-01,2416.5308695652175
2019-08-01,2194.697272727273
2019-09-01,2304.4038095238097
2019-10-01,2435.271739130435
2019-11-01,2519.6633333333334
2019-12-01,2444.7061904761904
2020-01-01,2603.0731818181816
2020-02-01,2716.2105
2020-03-01,2338.4718181818184
2020-04-01,2270.2414285714285
2020-05-01,2315.9880000000003
2020-06-01,2228.356818181818
2020-07-01,2101.742608695652
2020-08-01,2348.6757142857145
2020-09-01,2457.8959090909093
2020-10-01,2292.055909090909
2020-11-01,2358.185238095238
2020-12-01,2407.2013636363636
2021-01-01,2391.4065
2021-02-01,2405.4415
2021-03-01,2462.4665217391307
2021-04-01,2368.3328571428574
2021-05-01,2412.8630000000003
2021-06-01,2366.2336363636364
2021-07-01,2327.1
2021-08-01,2484.311818181818
2021-09-01,2558.093181818182
2021-10-01,2567.5690476190475
2021-11-01,2393.325909090909
2021-12-01,2384.974090909091
2022-01-01,2467.3552380952383
2022-02-01,2550.945
2022-03-01,2461.38
2022-04-01,2455.349
2022-05-01,2366.6168181818184
2022-06-01,2321.780909090909
2022-07-01,2239.5828571428574
2022-08-01,2270.565652173913
2022-09-01,2226.0545454545454
2022-10-01,2245.005238095238
2022-11-01,2382.3195454545457
2022-12-01,2455.7976190476193
2023-01-01,2540.9914285714285
2023-02-01,2587.361
2023-03-01,2669.1269565217394
2023-04-01,2823.4336842105263
2023-05-01,2904.3186363636364
2023-06-01,3124.2186363636365
2023-07-01,3348.3933333333334
2023-08-01,3444.08
2023-09-01,3625.3357142857144
2023-10-01,3691.6122727272727
2023-11-01,4096.158181818182
2023-12-01,4253.875555555555
2024-01-01,4947.7188
2024-02-01,5640.088095238096
2024-03-01,7435.426
2024-04-01,9876.579545454546
2024-05-01,7763.369545454546
2024-06-01,8380.1235
2024-07-01,7164.618695652174
2024-08-01,6791.954545454546
2024-09-01,6421.822380952381
2024-10-01,6582.857391304348
2024-11-01,7930.125238095238
2024-12-01,10353.047142857144
2025-01-01,10709.305454545454
2025-02-01,9827.304210526316
